Player,visibility1,tone1,visibility_scale1,visibility2,tone2,visibility_scale2,visibility3,tone3,visibility_scale3,visibility4,tone4,visibility_scale4,Season,Final
Nick,complex,mixed,4,complex,positive,4,complex,neutral,3,complex,positive,3,dvg,1
Mike,complex,negative,4,middle,neutral,2,complex,neutral,3,complex,neutral,3,dvg,2
Angelina,middle,neutral,3,middle,neutral,2,complex,neutral,4,utr,neutral,2,dvg,3
Kara,middle,positive,2,complex,neutral,3,utr,neutral,4,middle,neutral,4,dvg,4
Alison,middle,neutral,2,utr,neutral,1,utr,neutral,2,invisible,invisible,0,dvg,5
Davie,ott,positive,2,otp,positive,3,middle,neutral,2,complex,neutral,5,dvg,6
Christian,ott,positive,4,complex,neutral,5,middle,positive,2,complex,positive,4,dvg,7
Gabby,complex,positive,4,middle,neutral,3,middle,mixed,3,ott,neutral,3,dvg,8
Carl,complex,neutral,3,middle,neutral,2,ott,positive,2,middle,neutral,3,dvg,9
Alec,utr,neutral,1,utr,neutral,2,utr,neutral,1,complex,neutral,5,dvg,10
Daniel,ott,positive,5,ott,negative,3,utr,neutral,2,utr,neutral,2,dvg,11
John,ott,neutral,3,middle,neutral,2,complex,positive,4,middle,neutral,2,dvg,12
Elizabeth,middle,neutral,3,complex,neutral,3,utr,neutral,1,positive,positive,5,dvg,13
Lyrsa,middle,neutral,3,complex,mixed,5,invisible,invisible,0,utr,neutral,1,dvg,14
Natalie,middle,negative,3,ott,negative,5,middle,negative,5,ott,negative,3,dvg,15
Natalia,middle,neutral,2,middle,neutral,2,middle,neutral,3,ott,negative,5,dvg,16
Bi,ott,positive,2,utr,mixed,2,middle,neutral,4,utr,neutral,1,dvg,17
Jeremy,utr,neutral,2,complex,neutral,5,ott,mixed,5,,,,dvg,18
Jessica,complex,positive,3,middle,mixed,3,,,,,,,dvg,19
Pat,ott,positive,5,,,,,,,,,,dvg,20
Wendell,complex,neutral,3,invisible,invisible,0,middle,neutral,4,middle,neutral,3,ghost,1
Dominick,complex,mixed,5,complex,mixed,5,complex,negative,4,complex,neutral,5,ghost,2
Laurel,utr,neutral,2,utr,neutral,2,utr,neutral,1,complex,positive,3,ghost,3
Angela,invisible,neutral,0,invisible,invisible,0,complex,neutral,4,utr,neutral,2,ghost,4
Donathan,complex,positive,5,ott,positive,4,utr,neutral,2,middle,neutral,2,ghost,5
Sebastian,middle,neutral,3,invisible,invisible,0,utr,neutral,2,middle,neutral,3,ghost,6
Kellyn,middle,neutral,2,invisible,invisible,0,middle,neutral,2,complex,positive,5,ghost,7
Chelsea,invisible,neutral,0,invisible,invisible,0,invisible,neutral,0,middle,neutral,3,ghost,8
Michael,complex,neutral,3,middle,neutral,3,middle,neutral,3,complex,neutral,5,ghost,9
Jenna,utr,neutral,2,middle,neutral,3,middle,neutral,2,utr,neutral,1,ghost,10
Desiree,utr,neutral,1,invisible,invisible,0,utr,neutral,1,utr,neutral,2,ghost,11
Libby,invisible,neutral,0,utr,neutral,1,complex,positive,5,invisible,invisible,0,ghost,12
Chris,middle,negative,3,middle,neutral,3,complex,mixed,5,middle,neutral,3,ghost,13
Bradley,invisible,neutral,0,invisible,invisible,0,utr,negative,2,ott,negative,4,ghost,14
James,utr,neutral,2,middle,negative,3,complex,neutral,4,utr,neutral,1,ghost,15
Stephanie,complex,neutral,4,complex,neutral,5,complex,neutral,4,ott,positive,3,ghost,16
Brendan,middle,neutral,3,complex,neutral,3,middle,neutral,3,middle,neutral,3,ghost,17
Morgan,utr,positive,1,middle,neutral,3,complex,neutral,5,,,,ghost,18
Jacob,ott,negative,5,ott,negative,5,,,,,,,ghost,19
Gonzalez,middle,negative,3,,,,,,,,,,ghost,20